kode,nama_bahan_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,besi_mg,natrium_mg
AP102,Renggi goreng,471,4.7,21.8,64.1,6.4,4,1.1,126
EP008,Rica-rica taipa,49,1.6,0.3,10,0,11,3,426
DR139,Rimbang segar,75,1.6,0.6,15.8,10,55,0.6,20
AP103,Roti boong,341,5.5,16.2,43.3,0,15,1.1,161
AP024,Roti putih,248,8,1.2,50,9.1,10,1.5,530
AP104,Roti warna sawo matang,249,7.9,1.5,49.7,0,20,2.5,500
EP009,Rujak aceh,82,0.4,0.3,19.7,2.4,0,0,0
DP046,Rujak cingur,153,11.3,8.4,8,1.4,256,4.4,0
DR140,Rumput laut,41,1.4,0.3,8.1,2.2,80,1.6,250
FP010,Rusa daging dendeng mentah,536,40.5,41.5,0,0,90,13.4,130
GP048,Rusip,110,11.5,2,11.7,0,479,7.1,0
FP063,RW anjing masakan,198,24.6,10.7,0.9,0,1.07,4,1.6
GP087,Saboko gurita masakan,87,15.7,1.5,2.6,0,60,2.1,200
GP088,Saboko saltan masakan,113,17.1,3.6,3,0,240,0.5,40
GP089,Saboko sardin masakan,110,12.9,4.3,4.9,0,220,6,200
CR051,Saga merah terkupas mentah,449,30.6,25.5,31.9,3.5,1.06,14.2,66
BR018,Sagu aren kering,355,0.6,1.1,85.6,0.3,91,2.2,2
BR019,Sagu aren segar,231,0.6,0.2,56.6,3.2,20,0.1,7
BP057,Sagu forno,291,0.5,4,63.4,0,10,0.8,40
BR020,Sagu kasbi segar,230,0.6,0.2,56.5,3,20,0.3,100
BP058,Sagu Lemak Kue Sagon,452,2.8,14.8,76.8,1.1,15,1.1,182
BR021,Sagu lempeng,347,0.9,0.3,85.2,4.7,30,0.2,11
BP059,Sagu manis,287,0.5,3.9,62.4,0,8,0.7,34
BP060,Sagu Rendang,364,0.1,0.2,90.5,1.9,13,3.9,42
BR022,Sagu singkong kering,362,0.5,0.3,86.9,0,0,0,0
BP061,Sagu sinole,354,0.8,8.3,68.9,0,10,0.8,30
ER098,Salak bali segar,57,0.5,0.1,13.6,1.3,94,2.1,0
ER099,Salak medan segar,55,0.4,0.2,12.8,3.2,6,0.5,39
ER100,Salak pondoh segar,87,0.8,0.4,20.1,0,38,3.9,0
ER101,Salak segar,77,0.4,0,20.9,0,28,4.2,0
EP010,Sale kesemek,296,1.1,0.6,71.4,0,0,0,0
EP011,Sale pisang siam,281,2.4,0.7,66.1,1,41,1.2,0
EP012,Sale pisang cilacap,295,2.3,2.1,66.9,1.3,47,2.8,0
EP013,Sanggara belanda,242,6.4,7.1,38.2,0,0,0,0
KP003,Santan dengan air,122,2,10,7.6,1.4,25,0.1,9
KP004,Santan murni,324,4.2,34.3,5.6,0,14,1.9,18
NP009,Saos tomat,110,2,0.4,24.5,0.9,12,0.8,890
FP011,Sapi abon,212,18,10.6,59.3,7.5,150,12.3,0
FP012,Sapi abon asli,358,14.6,16.1,38.6,2.5,165,14.6,0
FR023,Sapi babat segar,108,17.6,4.2,0,0,12,1,147
FP013,Sapi daging asap,182,32,6,0,0,15,5,1.62
FP014,Sapi daging dendeng mentah,301,55,9,0,0,30,5.1,0
FR024,Sapi daging gemuk segar,273,17.5,22,0,0,10,2.6,93
FP015,Sapi daging kornet,289,16,25,0,0,10,4,794
FR025,Sapi daging kurus segar,174,19.6,10,0,0,11,2.9,83
FR026,Sapi daging lemak sedang segar,201,18.8,14,0,0,11,2.8,105
FP016,Sapi daging sosis Worst,448,14.5,42.3,2.3,0,28,1.1,765
FR027,Sapi daleman segar,183,12,14.4,1.4,0,43,1.8,277
FR028,Sapi dideh darah,98,21.9,1.1,0,0,7,1.3,150
FR029,Sapi ginjal segar,137,15,8.1,0.9,0,9,7.9,200
FP017,Sapi hati sosis liverworst,274,16,22,3,2.3,20,4,654
FR030,Sapi keleponan segar,84,10.5,4.6,0.2,0,20,2.1,73
FR031,Sapi liver segar,132,19.7,3.2,6,0,7,6.6,110
FR032,Sapi otak segar,123,10.4,8.6,0.8,0,16,3.6,112
FP018,Sapi paru dendeng mentah,360,57.3,6,19.2,0,126,21.1,1.48
