kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
FP057,Nasu likku masakan,59,196,14.5,8.3,15.9,0,69,157,1,386,470,0.3,2,0,0,0,0.2,0.24,1.5,0
AP093,Nopia spesial,11.5,387,5.3,7.6,74.3,0.3,903,133,4.2,0,0,0,0,0,0,512,0.17,0,0,0
DP042,Olah-olah,83.9,9,2.1,6,7.1,4.4,26,3,1.2,289,266,0.3,0.6,0,36,0,0.2,0.1,0.4,0
CP051,Oncom,57,187,13,6,22.6,0,96,115,27,0,0,0,0,0,0,0,0.09,0,1.6,0
CP052,Oncom ampas kacang hijau,13.4,376,14.9,6,65.7,12.3,199,110,10.9,0,0,0,0,0,0,0,0.03,0,0,0
CP053,Oncom kacang hijau + singkong,16.5,351,11,5.3,65.9,9,164,113,7.8,0,0,0,0,0,0,0,0.01,0,0,0
CP054,Oncom kacang tanah pepes,65,132,12.7,3.8,13.7,3.1,133,355,34.4,0,0,0,0,0,0,10,0.08,0.2,0.7,0
AP094,Onde-onde,27.7,336,4,9.8,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP052,Ongol-ongol sagu,75.3,111,0.3,2.7,21.2,0.3,79,15,1.7,0,0,0,0,0,0,0,0.06,0,0,0
FP058,Oramu ninahu ndawa olaho masakan,74.9,117,13.7,5,4.3,0,964,804,2,0,727,0.3,1.5,4.1,0,0,0.77,0.04,1.7,0
BP053,Oyek,12.6,351,0.9,0.9,84.9,4.3,60,36,2.1,5,229,0.1,0.5,0,0,0,0.02,0.02,0.5,0.2
AP095,Padamaran,67.6,171,3.9,8.9,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP043,Paku hinela wulelenggapaya,83.4,77,3.5,4.6,5.4,3.6,63,85,0,469,37,0.3,0.7,0,55,0,0.8,0.1,0.2,4
NR024,Pala biji kering,14.3,518,7.5,36.4,40.1,3.5,120,240,4.6,2,78.7,0.94,2,0,7,0,0.2,0.02,0.5,0
ER072,Pala daging segar,88.1,42,0.3,0.2,10.9,0.5,32,24,1.5,0,0,0,0,0,0,29,0,0,0,22
FP059,Paniki masak santan masakan,25.4,460,28.5,35.2,7.2,0,188,357,5.5,2,532,0.4,2.5,954,0,0,0.27,0.19,0,0
BP054,Papeda,84.8,61,0.2,0.1,14.9,0.5,3,1,0.2,4,20,0.1,0.1,0,0,0,0.06,0,0,0
GP076,Parede baleh masakan,80,87,10.5,2.5,5.5,0,35,215,0.9,416,59,0.1,0.2,0,0,0,0.24,0,0.7,0
DP015,Paria putih kukus,95,16,0.8,0.2,3.4,1.2,16,33,0.5,4,236,0,0.7,0,187,65,0.15,0.04,0.3,35
DR131,Paria putih segar,94.4,19,1,0.4,3.6,1.3,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58
AP096,Pastel,38.3,307,4.5,13.3,42.4,0,296,53,2.5,0,0,0,0,0,0,5.36,0.15,0,0,0
