kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
GP053,Abon haruwan,11.6,513,23.7,37,21.3,0,25,25,0.5,61,15,0,0.2,0,0,0,0,0,0,0
GP054,Abon ikan,6.4,435,27.2,20.2,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,24.3,0
DR001,Akar tonjong segar,86.7,45,1.1,0.4,10.8,1.2,72,125,1.3,96,1147.1,0.02,0.2,0,83,90,0.02,0.03,1.9,2
DR002,Aletoge segar,90.6,37,4.4,0.5,3.8,1.7,50,248,2,2,105,0.16,0.4,0,0,35,0.02,0.09,0.6,46
ER001,Alpukat segar,84.3,85,0.9,6.5,7.7,0,10,20,0.9,2,278,0.2,0.4,0,189,180,0.05,0.08,1,13
AP026,Amparan tatak,58.4,191,1.3,5.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP015,Ampas kacang hijau,70.6,96,3.7,0.6,19.1,2.7,133,150,1.3,0,0,0,0,0,0,0,0.05,0,0,0
CP017,Ampas tahu kukus,82.5,75,4.1,2.1,10.7,5.1,203,60,1.3,0,0,0,0,0,0,0,0.07,0,0,0
CP018,Ampas tahu kering,9,414,26.6,18.3,41.3,0,19,29,4,45,1055.7,0.99,2.8,0,0,0,0.2,0.1,0.5,0
CP016,Ampas tahu mentah,84.1,67,5,2.1,8.1,4.1,460,88,1,8,184.5,0.17,0.5,0,0,0,0.06,0.02,0.1,0
FR001,Anak sapi daging gemuk segar,62,184,18.8,14,0,0,10,200,2.2,118,490.1,0.17,5.8,12,37,0,0.13,0.17,7,0
FR002,Anak sapi daging kurus segar,69,174,19.6,10,0,0,11,201,2.9,96,399.8,0.14,4.8,6,30,0,0.08,0.14,5.7,0
FR003,Anak sapi daging sedang segar,68,190,19.1,12,0,0,11,193,2.9,99,412.7,0.14,4.9,12,83,0,0.14,0.15,5.9,0
DR003,Andaliman segar,74.2,99,4.6,1,18,8.5,383,107,2.9,0,0,0,0,0,0,6.3,3,0,0,15
DR004,Andewi segar,91.8,226,1.6,0.2,5.3,4.1,33,66,1,29,414.6,0.13,1,0,1.72,0,0.14,0.09,0.5,10
ER002,Anggur hutan segar,92.3,30,0.5,0.2,6.8,1.2,39,12,1.1,0,0,0,0,0,0,1,0.01,0,0,3
FR004,Angsa daging segar,51.1,349,16.4,31.5,0,0,15,188,1.8,71,299.2,0.26,1.7,273,0,0,0.1,0.24,7.1,0
DP023,Anyang sayur,76.9,126,3.4,7.9,10.3,5.4,180,1,2.9,290,181,0.3,1.2,0,3.26,0,0.2,0,0,0
AP027,Apang kukus kue,49.5,202,3,0.3,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER003,Apel malang segar,85.9,57,0.5,0.4,12.8,0.8,9,18,0.6,4,175.4,110.16,0,0,26,2.24,0.05,0.03,0.1,5
ER004,Apel segar,84.1,58,0.3,0.4,14.9,2.6,6,10,0.3,2,130,124.2,0.3,0,30,90,0.04,0.03,0.1,5
AP028,Apem kue,63.1,148,2,0.5,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER005,Arbai segar,89.9,37,0.8,0.5,8.3,0,28,27,0.8,2,43,63.52,18.9,0,2,60,0.03,0,0.1,60
DP024,Ares sayur,77.7,113,0.9,7.2,11.2,4.7,63,5,1.5,1.41,1030,0.7,3.8,0,6,0,0.1,0,0.5,0
BR001,Arrowroot segar,73.5,102,1,0.2,24.1,1.7,28,35,1.7,36,626.6,0.2,0.8,0,15,0,0.06,0.1,2.3,2
DP025,Arwan sirsir,59,277,2.4,25,10.7,4.6,120,40,2.4,240,320,0.2,0.9,0,1.58,0,0.1,0.2,0,11
NR001,Asam arang coklat segar,66.1,130,0.5,1.1,30.9,1.5,79,113,4.3,13,0,0,0,0,745,0,0.01,0.2,0,0
NR002,Asam arang merah segar,75.9,99,0.8,1.6,20.3,2.8,69,300,4.6,2,95.7,0,0.1,0,529,0,0.01,0.34,1.6,0
NR003,Asam kandis kering,32.2,261,0.9,1.6,63.3,5,192,657,4.4,26,341.4,0.4,0.3,0,0.2,0,0,0,0.4,0
NR004,Asam kandis segar,81.5,75,0.2,1.1,16.1,3.4,63,139,2.5,7,93.2,0.1,0.1,0,41,0,0.01,0,0.1,0
NR005,Asam masak pohon segar,31.4,267,2.8,0.6,62.5,1.2,74,113,0.6,9,139.5,0.09,0.1,0,9,30,0.34,0.04,0.7,2
NR006,Asam payak segar,65.1,135,0.8,0.4,32.1,10,60,39,5.7,0.2,0,0,0,0,0,0,0,0,0,0
DP022,Asinan Bogor sayuran,78,98,3.9,2.6,14.8,0.5,314,17,1.2,483,0,0,0,10,0,146,0.28,0,0,5
FP021,Ayam goreng church texas dada,42.2,338,35.2,20.6,0.4,0,79,221,5.6,800,369.5,0.16,1.1,16,0,80,0.52,0.16,12.1,0
FP023,Ayam goreng church texas sayap,47.2,295,34,16,1.5,0,81,179,3,771,237.2,0.16,1.2,13,0,50,0.44,0.13,6.2,0
FP022,Ayam goreng churchtexas paha,50.3,287,31,15.7,1.7,0,99,176,4.1,723,257,0.17,1.5,22,0,30,0.66,0.2,5.3,0
FP024,Ayam goreng kalasan paha,46.2,275,37.4,12.2,1.3,0,116,237,5.8,176,321.9,0.16,1.5,10,0,50,0.1,0,0,0
FP025,Ayam goreng kentucky dada,46.5,298,34.2,16.8,0.1,0,90,284,5.5,741,342,0.07,1,36,0,50,0.19,0,0,0
FP026,Ayam goreng Kentucky paha,48.7,286,32.1,16.1,1.1,0,89,248,6.9,746,265.2,0.09,2.3,31,0,20,0.5,0.21,5.5,0
FP027,Ayam goreng Kentuckysayap,44.7,297,35.9,15.2,1.6,0,103,227,4.4,807,248.4,0.06,1.4,22,0,70,0.73,0.14,6.5,0
FP028,Ayam goreng mbok berek dada,43.4,295,39.2,13.6,1,0,114,278,5.4,0,0,0,0,8,0,50,0.19,0,0,0
FP029,Ayam goreng pasundan dada,50.1,246,37.9,9,0.7,0,90,260,7.5,0,0,0,0,6,0,70,0.16,0,0,0
FP030,Ayam goreng pasundan paha,52.8,245,33.1,11.4,0.3,0,90,283,7.3,0,0,0,0,8,0,40,0.37,0,0,0
FP031,Ayam goreng pioneer dada,44.5,295,37.4,14.7,0.6,0,108,236,6.8,0,0,0,0,16,0,80,0.1,0,0,0
FP032,Ayam goreng sukabumi dada,49.8,244,36.7,9.2,1,0,81,154,6.1,0,0,0,0,20,0,80,0.66,0,0,0
FP033,Ayam goreng sukabumi paha,46,283,35.7,14.3,0.5,0,68,106,5.4,0,0,0,0,11,0,60,0.36,0,0,0
FP034,Ayam taliwang masakan,57.5,264,18.2,20.1,2.7,0,94,164,2,507,408,0.4,12.3,1.07,0,0,0,0,0,0
FP001,Ayam ampela goreng,4.8,270,32.3,11.2,9.9,0,129,314,4.9,980,0,0.12,3.3,56,0,0,0.21,0,4.7,0
FR005,Ayam daging segar,55.9,298,18.2,25,0,0,14,200,1.5,109,385.9,0.11,2,245,5,0,0.08,0.14,10.4,0
FR006,Ayam dideh darah segar,82,75,13.8,1.9,0.7,0,15,9,1.3,337,234,0,0,15,0,0,0.02,0,0.6,0
FR007,Ayam hati segar,53.4,261,27.4,16.1,1.6,0,118,373,15.8,1.07,22.9,0.84,0,4.96,169,28,0.64,4.38,4.1,0
FP002,Ayam usus goreng,4.6,473,45.2,26.3,13.9,0,1.41,458,8.4,0,0,0,0,6,0,224,0.57,0,0,0
FP035,Babi hutan masak rica masakan,56.2,491,24.6,16.3,0.2,0,18,144,1.2,1.42,327,0.2,2.6,2.19,0,0,0.61,0.47,0,0.2
FR008,Babi daging gemuksegar,42,453,11.9,45,0,0,7,117,1.8,112,819.3,0.22,0.4,0,0,0,0.58,0.59,5.9,0
FR009,Babi daging kurus segar,50,371,14.1,35,0,0,8,151,2.1,97,706.3,0.19,0.4,0,0,0,0.67,0.33,5.4,0
FR010,Babi ginjal segar,77.1,110,16.3,4.6,0.8,0,11,246,8,139,390,0.71,3.2,39,10,0,0.58,1.59,9.1,13
FR011,Babi hati segar,72.3,129,19.7,4.8,1.7,0,10,362,18,110,447,0.58,0.1,4.3,6,0,0.4,1.16,5.7,23
BP013,Bagea kelapa asin,3.5,450,3.2,13.9,78.1,0,38,38,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0
BP014,Bagea kelapa manis,3,452,1.3,13.8,80.6,0,38,39,0.3,75,0,0.2,0.2,0,0,0.3,0,0,0,0
BP015,Bagea kenari asin,2.8,529,3.2,29.1,63.6,0,38,40,0.4,74,0,0.2,0.2,0,0,0,0.3,0,0,0
BP016,Bagea kenari manis,3.1,523,3.2,28.2,64.2,0,38,39,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0
BP017,Bagea kw 1,7.2,416,6.5,9.4,76.3,0.4,49,77,4.9,0,0,0,0,13,0,312,0.08,0,2.6,0
BP018,Bagea kw 2,7.9,382,0.3,3.5,87.2,0.9,172,120,7.6,0,0,0,0,0,0,0,0.02,0,0,0
AP030,Bakpia kue,38.9,272,8.7,6.7,44.1,0.9,194,117,4.5,0,0,0,0,0,0,1.39,0.31,1,2.9,0
DR005,Bakung segar,92.5,27,2,0.2,4.2,3.8,19,20,0.5,37,340,0.2,0.3,0,1.08,0,0.2,0.1,0.3,42
AP031,Bakwan,40.5,280,8.2,10.2,39,3.4,204,79,7,0,0,0,0,0,0,0,0.08,0,0,0
NP001,Balichong,59.9,152,13.2,0.8,22.9,1.5,380,210,2.9,120,310,0.8,1.1,34,0,0,0.01,0.08,0.2,0
DR006,Baligo segar,96.1,15,0.4,0.2,3,0.4,19,19,0.4,2,131.1,0.02,0.6,0,0,0,0.04,0.02,0.3,13
AP032,Bantal,52.3,190,3.3,0.3,43.5,3.4,9,0,0.4,164,84,0.2,0.9,0,0,0,0.27,0.02,3.6,0
EP001,Barongko,66.7,159,3.1,5.8,23.5,0,35,65,1.2,46,78,0.3,0.6,0,0,0,0,0,0,8
AP033,Baruasa,5.3,417,6.5,8.2,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP034,Batar daan,75.3,107,2.2,2.2,19.6,0,20,30,0.6,200,90,0.1,0,0,0,0,0.18,0.02,0,0
BR002,Batatas gembili segar,76.7,76,1.1,0.9,16,4.2,0,40,0.2,10,200,0.2,0.3,0,0,0,0.06,0,0.9,0
BP001,Batatas kelapa ubi bakar,73.2,110,1.4,1.1,23.4,4.5,1,46,0.2,12,230,0.2,0.3,0,0,0,1.13,0,0,0
BP002,Batatas kelapa ubi kukus,75.7,92,1.2,0.3,21,4.1,0,42,0.2,10,209,0.2,0.3,0,0,0,0.28,0,0.7,0
BR003,Batatas kelapa ubi segar,76.1,89,1.1,0.1,21,4,0,40,0.2,20,340,0.1,0.2,0,0,0,0.38,0,0.9,0
BP003,Batatas tali ubi rebus,53.2,182,2.4,0.4,42.2,9.2,1,80,0.3,20,402,0.3,0.6,0,0,0,0.27,0,1.3,0
DR007,Bawang bombay segar,87.5,43,1.4,0.2,10.3,2,32,44,0.5,12,9.6,0.1,0.3,0,788,50,0.03,0.21,0.4,9
NR007,Bawang merah segar,88,46,1.5,0.3,9.2,1.7,36,40,0.8,7,178.6,0.06,0.2,0,2,0,0.03,0.04,0.2,2
NR008,Bawang putih segar,71,112,4.5,0.2,23.1,0.6,42,134,1,46,665.7,0.09,0.4,0,0,0,0.22,0.07,0.3,15
DR009,Bayam merah segar,88.5,41,2.2,0.8,6.3,2.2,520,80,7,20,60,0.2,0.8,0,7.33,0,0.2,0.1,0.1,62
DP001,Bayam kukus,90.7,30,1.3,0.7,5.8,1.2,239,35,5.7,15,431,0.1,0.3,0,2.7,3.75,0.02,0.1,0.9,32
DP002,Bayam rebus,93.5,23,1.2,0.6,3.7,1.1,150,35,0.5,16,308.4,0.2,0.3,0,3.28,2.86,0.02,0.1,0.9,19
DR008,Bayam segar,94.5,16,0.9,0.4,2.9,0.7,166,76,3.5,16,456.4,0.13,0.4,0,2.7,2.29,0.04,0.1,1,41
HP005,Bayau mi balu masakan,36.1,313,6,12.2,44.8,0,0,0,0,0,0,0,0,783,89,0,0.14,0.27,9.7,0
FR012,Bebek itik daging segar,54.3,321,16,28.6,0,0,15,188,1.8,54,199,0.21,1.2,273,0,0,0.1,0.28,4.3,0
FR013,Bebek alabio daging segar,57,303,11.3,27,3.7,0,20,293,4.8,50,260,0.7,2,0,0,0,0.36,0.04,4.1,0
FP003,Bebek daging goreng,48.8,300,24,20.7,4.5,0,170,170,4.1,34,6,0.4,3,0,0,0,0.1,0.4,10.6,0
DP026,Beberuk,89.1,65,1.1,5.2,3.5,3.1,179,72,8.3,53,427,0.4,0.2,0,44,0,0.3,0,4.4,0
FP036,Beef burger,45.5,258,10.6,9.5,32.5,0.4,210,157,2.6,572,189.1,0,0,218,0,7.58,0.95,0,0,0
FP037,Beef teriyaki masakan,65.1,151,8.6,3.1,22.3,0.3,142,62,2.3,377,0,0,0,22,0,400,0.53,0,0,0
FP038,Beef yakiniku masakan,67.7,132,9.8,1.1,20.7,0.3,302,67,2,409,0,0,0,78,0,700,0.62,0,0,0
NP002,Bekasam,65.5,116,11.9,4.9,6.1,3.5,704,757,7.5,711,176,0.8,1.9,0,0,0,0,0.03,2.1,0
NP003,Bekasang,67.1,78,11.4,2,3.6,0.4,54,97,2.6,4.02,121,0.2,4.8,0,0,0,0.15,0.12,0.6,0
GP001,Bekicot dendeng mentah,6.7,441,48.7,20.3,15.8,0,692,523,16.6,0,0,0,0,6,0,1.41,0.56,0,0,69
FR014,Belibis daging segar,71.3,131,20.2,4.3,2.8,0,8,192,9.6,46,104,1.2,1.6,0,0,0,0.37,0.08,2.7,0
ER006,Belimbing segar,90,36,0.4,0.4,8.8,3.3,4,12,1.1,4,130,0,0.1,0,29,170,0.03,0,0,35
BP004,Belitung talas kukus,63.1,145,1.2,0.4,34.2,1,21,48,0.9,7,552.6,0.2,0.9,0,0,0,0.08,0.1,2.3,1
BR004,Belitung talas segar,63.1,145,1.2,0.4,34.2,1.5,26,54,1.4,6,536.1,0.2,0.9,0,0,0,0.1,0.1,2.3,2
GP002,Belut goreng,11.2,417,25.9,19.4,32,0,840,872,4.9,71,217.7,0.3,1.8,0,0,0,0,0.2,10.5,0
GR011,Belut segar,81.5,70,14.6,0.8,1,0,49,155,1.5,55,169,0.2,1.2,0,0,0,0.22,0.12,7.7,0
GR012,Belutlaut segar,79.5,93,12.8,1.5,6.1,0,60,199,3,33,175.9,0.1,1,51,3,71,0.06,0,2.7,0
BR005,Bengkuang segar,85.1,59,1.4,0.2,12.8,1,15,18,0.6,2,244.3,0.1,0.3,0,0,0,0.04,0.1,0.2,20
BR006,Bentul Komba talas segar,75.8,98,1.6,0.7,20.9,0.7,44,66,1.5,0,195.5,0.2,0.6,0,0,0,0.02,0.1,0.8,0
BP005,Bentul talas kukus,81.1,71,2.3,0.3,15.4,0.5,29,26,0.6,0,201,0.2,0.6,0,0,0,0.06,0,0,21
BP019,Beras Cerdas,11.3,350,2.7,1.1,82.3,6.2,28,351,2.9,358,568,0.2,0.9,0,0.4,0,0.02,0.2,0.3,0.2
BP020,Beras ganyong,9.3,364,3.4,0.7,86.3,4.7,4,47,5,4,72.2,0.2,0.6,0,1,0.1,0.02,0.02,0.3,0.2
AR002,Beras giling var pelita mentah,11.4,369,9.5,1.4,77.1,0.4,68,171,1.4,34,0,0,0,0,0,0,0.26,0,0,0
AR003,Beras giling var rojolele mentah,12,357,8.4,1.7,77.1,0.2,147,81,1.8,34,112.9,0.14,0.1,0,0,80,0.2,0.02,1.5,0
AR001,Beras giling mentah,12,357,8.4,1.7,77.1,0.2,147,81,1.8,27,71,0.1,0.5,0,0,0,0.2,0.08,2.6,0
AR004,Beras hitam mentah,12.9,351,8,1.3,76.9,20.1,6,198,0.1,15,105,0.1,1.6,0,0,0,0.21,0.06,0,0
AR005,Beras jagung kuning kering mentah,10.8,358,5.5,0.1,82.7,10,20,90,1.4,1,80,0.1,4.1,0,641,0,0.12,0.08,1,3
AR006,Beras jagung putih kering mentah,22.5,307,4.8,0.1,71.8,10,17,78,1.2,1,70,0.1,3.5,0,301,0,0.15,0.07,0.9,0
AR007,Beras ketan hitam tumbuk mentah,13.7,360,8,2.3,74.5,1,10,347,6.2,11,288,0.28,2.2,0,0,0,0.24,0.1,2,0
AR008,Beras ketan putih tumbuk mentah,12.9,361,7.4,0.8,78.4,0.4,13,157,3.4,3,282,0.28,2.2,0,0,0,0.28,0,1.4,0
AR009,Beras ladang mentah,9.8,376,7.5,3.8,78,5.9,20,110,0.8,10,70,0.1,1.4,0,0,0,0.2,0.2,5.1,0
AR010,Beras menir mentah,12,362,7.7,4.4,73,0.2,22,272,3.7,90,201,0.1,0.5,0,0,0,0.55,0.04,1.9,0
AR011,Beras parboiled,10,353,6.8,0.6,80,0.5,5,142,0.8,2,46,0.28,1,0,0,0,0.22,0.11,3.4,0
BP021,Beras Siger,13.5,344,1.1,0.2,28.3,5.6,32,22,5.6,106,77.9,0.1,0.5,0,0,0,0.02,0.1,0.2,0.2
AR013,Beras tumbuk merah mentah,14.6,352,7.3,0.9,76.2,0.8,15,257,4.2,10,202,0.36,1.9,0,0,0,0.34,0.05,3.3,0
AR012,Beras tumbuk mentah,11.5,354,7.8,0.4,79.9,3.8,3,112,0.6,5,85,0.5,1.5,0,0,0,0.25,0.22,5.1,0
GP055,Betok wadi masakan,69.2,145,16.3,7,4.1,0,405,523,1.8,69,203,1,1.3,0,0,0,0.22,0,0,0
AP007,Bihun goreng instan,9,381,6.1,3.9,80.3,0,266,151,2.9,928,0,0,0,58,0,400,0.37,0,0,0
AP008,Bihun Jagung mentah,11.3,354,0.5,0.3,87.4,3,13,111,0.6,49,1.4,0.4,0,0,0,0,0.02,0.02,0.3,0.2
AP006,Bihun mentah,12.9,348,4.7,0.1,82.1,1.2,6,35,1.8,12,5,0.08,0.7,0,0,0,0,0,0.2,0
BP022,Biji nangka Biji salak,40.5,262,2.3,5.4,51.1,8,60,80,0.8,10,2,0.6,2,0,1.67,0,0.1,1,0,10
AP035,Bika ambon,51.5,199,2.1,1.5,44.4,0.3,45,28,1.8,0,0,0,0,0,0,408,0.1,0,0,0
AP036,Bingka,44.4,273,5.3,10.6,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP029,Biskuit,2.2,458,6.9,14.4,75.1,2.1,62,87,2.7,241,20.3,0.16,0.6,0,14,0,0.09,0.15,1.4,0
DR010,Bit segar,87.6,41,1.6,0.1,9.6,2.6,27,43,1,29,404.9,0.2,0.7,0,0,20,0.02,0.05,0.3,10
ER007,Biwah segar,87.1,51,0.3,0.1,12.1,0.7,220,14,0.8,1,258.6,0.04,0.1,0,0,12.26,0.1,0.02,0,4
ER114,Blewah segar,90.2,34,0.8,0.2,8.2,0.9,9,15,0.2,16,267,0.04,0.2,0,2.03,0,0.04,0.02,0.7,37
AP037,Bobengka,46.3,225,5.3,2.6,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP038,Bolu peca,55.6,197,3.3,4.6,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR009,Boros kunci segar,90,40,1,0.8,7.2,1,50,50,2,33,480,0.02,0.3,0,0,5,0.08,0.68,1.7,50
NR010,Boros laja lengkuas segar,93,26,1,0.3,4.7,1.1,50,50,2,24,137.1,0.07,0.3,0,5,5,0.08,0.06,0.3,50
DP027,Botok lamtoro,63.9,186,11.7,9.7,13,2.1,771,322,26,0,0,0,0,18,0,179,0.27,0,0,2
GP056,Bou ninahu ndamate masakan,79.5,79,6.3,1,1.1,0,0,0,0,67,0,0,0,691,0,0,0.1,0,0.1,0
GP057,Bouiki ninahu nggaluku masakan,73.9,94,7.8,2.2,10.8,0,0,0,0,58,179.4,0,1.5,0,0,0,0.5,0.03,2.4,0
AP039,Brem,37.4,249,3.4,0.4,58,0,198,86,2,0,0,0,0,0,0,240,0.34,0,0,0
FP039,Brongkos,76.4,141,15.3,3.3,12.6,1,87,97,5.1,0,0,0,0,4,0,356,0.4,0,0,0
ER008,Buah atung segar,92,23,0.8,0.2,5.2,0,30,50,4.6,0,0,0,0,0,0,0,0.29,0,0,38
ER009,Buah kelenting segar,73.9,110,1.4,2.1,21.4,0,8,102,1.1,2,0,0.3,0.9,0,0,0,0.2,0.1,0,6
DR011,Buah kelor,89.5,38,1.5,0.2,7.5,3.2,30,54,0,48,216,0,0.2,0,31,0,0.1,0.1,4.1,25
ER010,Buah kom segar,33.7,264,4,1.1,59.6,9,306,92,0.8,0,0,0,0,0,0,400,0.11,0,0,9
ER011,Buah mentega Bisbul segar,89,39,0.7,0.2,9.7,2,43,17,0.8,1,90,0.06,0.1,0,141,55,0.02,0.01,0.1,33
DR012,Buah merah,81.2,87,2.6,2.7,13.1,4,30,1,1.1,110,140,0.1,0.3,0,0,0,1.5,0.1,0.2,15
ER012,Buah Naga Merah segar,85.7,71,1.7,3.1,9.1,3.2,13,14,0.4,128,128,0,0.4,0,0,0,0.5,0.3,0.5,1
ER013,Buah Naga Putih segar,86.6,56,0.8,1,10.9,3.2,13,27,0.5,231,231,0,0.4,0,0,0,0.02,0.5,0.9,1
ER014,Buah negri segar,85.7,55,1.2,0.1,12.2,5.2,30,40,0.2,10,0,0.1,0.3,0,460,0,0.33,0.03,0.1,9
ER015,Buah nona segar,71.5,101,1.7,0.6,25.2,2.8,27,20,0.8,5,312.5,325.7,0.1,0,49,0,0.08,0.16,0.9,22
ER016,Buah rotan segar,79.4,78,0.6,0.3,18.2,0,1,7,3.4,7,495,0.3,0.7,0,0,0,0.12,0,0,5
ER017,Buah rukam segar,71.3,113,0.8,0.3,26.8,7.7,108,52,1.2,2,219,0.3,0.9,0,17,0,0.06,0.01,0,20
ER018,Buah ruruhi segar,93,29,2.1,0.7,3.6,2.6,6,7,0,36,45,0,0.1,0,7,0,0.06,0.01,0,10
ER019,Buah tuppa segar,82.5,67,0.4,0.2,15.9,0,12,139,0.5,2,0,0.2,0.5,0,0,0,0.04,0.01,0,5
FP004,Buaya daging dendeng mentah,12.3,365,49.6,4.8,30.8,0,60,130,4.3,500,680,0.2,11.6,0,0,0,0,0,0.2,0
BP023,Bubur sagu,62.5,167,0.2,4,33,0,3,3,0.1,7,0,0.1,0.1,0,0,0,9,0,0.1,0
AP040,Bubur tinotuan Manado,80.9,156,2.3,0.2,15.6,8.2,41,20,0.4,486,164,0.3,0.4,0,1.44,0,0.1,0.04,0,15
FP040,Bulgogi masakan,84.2,72,11.4,4.9,1.4,1.7,214,86,2.5,509,0,0,0,17,0,0,1.08,0,0,0
DP003,Buncis rebus,90.6,30,2.2,0.2,6.4,1.5,107,47,0.5,7,138.9,0.1,0.3,0,1,402,0.01,0.29,2,8
DR013,Buncis segar,89.6,34,2.4,0.3,7.2,1.9,101,42,0.7,8,250,0.07,0.3,0,772,550,0.05,0.4,2.8,11
DR014,Bunga pepaya segar,87.3,45,2.6,0.3,8.1,1.6,290,113,4.2,2,478.3,0.08,0.8,0,2.79,5,0.01,0.28,1,23
DR015,Bunga turi segar,90.4,42,2,1.1,6.1,3.3,28,23,0.8,97,97.4,0.1,0.6,0,1,0.1,0.5,0.02,0.4,1
CP020,Bungkil biji karet,12,333,29.3,3.3,50,0,102,660,12,0,0,0,0,0,0,0,0.1,0,0,0
CP021,Bungkil kacang tanah,14,336,37.4,13,30.5,0,730,470,30.7,0,0,0,0,0,0,0,0.04,0,0,0
CP022,Bungkil kelapa,16,368,23,15,40,0,137,433,41.5,0,0,0,0,0,0,0,0,0.46,8.9,0
DP028,Buntil daun talas,74.5,141,4.4,10.2,8,1.8,149,121,14.5,0,0,0,0,13,0,8.61,0.25,0,0,1
FR015,Burung sarang segar,24.8,281,37.5,0.3,32.1,0,485,18,3,0,0,0,0,0,0,0,0,0,0,0
NR011,Cabai gembor merah segar,90.8,38,1.6,0.8,6.3,1.6,49,41,1.1,7,275.3,0.12,0.2,0,5.9,3.24,0.21,0.12,0,16
NR012,Cabai hijau segar,93.4,26,0.7,0.3,5.2,2.6,14,23,0.4,7,151,0.08,0.2,0,44,260,0.05,0.06,0.4,84
NR013,Cabai merah kering,10,367,15.9,6.2,61.8,26.9,160,370,2.3,25,181.5,1.2,1.8,0,10.96,576,0.4,1.36,4.4,50
NR014,Cabai merah segar,90.9,36,1,0.3,7.3,1.4,29,24,0.5,23,272.4,0.12,0.2,0,5.83,470,0.05,0.09,3,18
NR015,Cabai rawit segar,71.2,120,4.7,2.4,19.9,15.2,45,85,2.5,34,706.2,0.29,0.6,0,1.69,11.05,0.24,0.09,1.7,70
DR016,Caisin segar,93.6,20,1.7,0.4,3.4,1.2,123,40,1.9,18,358.2,0.05,1.4,0,1.68,4.19,0.04,0.19,0.6,3
GP058,Cakalang asar asap papua,64.3,155,20.1,3.8,10.2,0,20,240,2.1,90,390,0.3,0.1,86,0,0,0,0.7,0.2,0
AP041,Cake tape,32.2,323,4.9,11.5,50.1,1.4,131,83,2.6,0,0,0,0,26,0,1.87,0.38,0.16,0.3,0
DP029,Cammetutu,79.6,102,3.2,6,8.7,4.3,41,93,0.5,443,518,0.3,0.7,0,1.12,0,0.3,0.4,0.4,19
AP042,Cangkuning,57.5,204,2.8,7.5,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR014,Cantel mentah,11,366,11,3.3,73,1.2,28,287,4.4,7,249,0,0,0,0,0,0.09,0.14,2.8,0
DP030,Cap cai sayur,82.7,97,5.8,6.3,4.2,0.6,287,89,1.8,405,0,0,0,45,0,1.64,0.21,0,0,1
ER020,Carica papaya segar,93.4,24,1.9,0.2,3.7,1,51,33,1.8,0,0,0,0,0,0,1,0.32,0.07,0,85
BP024,Cassavastick,5.6,460,0.8,18.7,17.2,1.6,144,58,7.5,0,0,0,0,0,0,107,0.19,0.07,0.1,0
ER021,Cempedak segar,67,116,3,0.4,28.6,3.4,20,30,1.5,26,243.7,0,0,0,79,200,0,0,0.5,15
NR016,Cengkeh kering,23.3,330,5.2,8.9,57.4,10,740,100,4.9,282,961,0.3,0,0,265,0,200,0,0,0
BP025,Ceriping getuk singkong,7.2,462,1.2,20.7,67.7,0.6,1.25,172,8.8,0,0,0,0,0,0,152,0.29,0.02,0.5,0
FP041,Chicken teriyaki masakan,68.2,168,13,9.6,7.5,0.8,137,106,3.1,959,0,0,0,68,0,2.2,0.65,0,0,0
FP042,Chikiniku masakan,65.4,143,9.8,1.4,22.8,0.4,301,63,2,531,0,0,0,27,0,1.28,0.73,0,0,0
MP004,Coklat bubuk,3.9,311,8,4,48.9,32.6,125,715,11.6,0,0,0,0,0,0,30,0.12,0,0.6,0
MP001,Coklat manis batang,1.4,527,2,29.8,62.7,6.5,63,287,2.8,6,499.5,0,0,0,0,30,0.03,0.02,0,0
MP002,Coklat pahitbatang,2.3,615,5.5,42.6,29.2,10.8,98,446,4.4,20,708.3,1.7,3.3,0,2,60,0.05,0.08,1,0
MP003,Coklat susu batang,1,565,9,35,53.6,3.4,200,200,2,100,405.5,0.49,2.3,0,54,30,0.08,0.45,0.5,0
FP043,Coto mangkasara kuda masakan,83.5,96,6.8,5.9,3.8,0,11,106,2.3,96,31,0.1,1,0,0,0,0.23,0.14,4.2,0
FP044,Coto mangkasara sapi masakan,85.9,84,6,6,1.4,0,8,104,4,90,25,0.3,0.6,0,0,0,0.16,0.14,10.3,0
HP006,Cucuru bayau masakan,35,349,6.8,18.7,38.3,0,0,0,0,0,0,0,0,0,123,0,0.06,0.25,0,0
